iter	Passed	Remaining
0	0	690
1	1	656
2	1	634
3	2	611
4	3	608
5	3	608
6	4	596
7	4	589
8	5	584
9	5	576
10	6	574
11	6	566
12	7	562
13	7	560
14	8	556
15	9	558
16	9	556
17	10	554
18	10	552
19	11	548
20	11	549
21	12	546
22	12	543
23	13	542
24	13	539
25	14	538
26	14	535
27	15	533
28	15	534
29	16	531
30	16	529
31	17	527
32	17	525
33	18	525
34	18	523
35	19	520
36	19	517
37	20	515
38	20	512
39	21	509
40	21	508
41	22	508
42	22	507
43	23	505
44	23	505
45	24	505
46	24	504
47	25	503
48	25	504
49	26	503
50	26	502
51	27	501
52	28	501
53	28	501
54	29	501
55	29	500
56	30	500
57	30	498
58	31	497
59	31	496
60	32	494
61	32	493
62	33	493
63	33	493
64	34	493
65	34	493
66	35	493
67	36	493
68	36	492
69	37	492
70	37	491
71	38	491
72	38	490
73	39	489
74	39	488
75	40	488
76	40	488
77	41	487
78	41	487
79	42	486
80	42	485
81	43	484
82	43	481
83	44	480
84	44	480
85	45	478
86	45	477
87	46	477
88	46	476
89	47	476
90	47	475
91	48	475
92	48	475
93	49	474
94	49	473
95	50	473
96	50	472
97	51	471
98	51	470
99	52	469
100	52	468
101	53	468
102	53	468
103	54	468
104	54	468
105	55	468
106	56	468
107	56	467
108	57	466
109	57	466
110	58	465
111	58	464
112	59	464
113	59	463
114	60	463
115	60	463
116	61	462
117	61	461
118	62	461
119	62	461
120	63	461
121	63	459
122	64	459
123	65	459
124	65	459
125	66	459
126	66	458
127	67	457
128	67	457
129	68	456
130	68	455
131	69	455
132	69	454
133	70	454
134	70	453
135	71	452
136	71	452
137	72	451
138	73	452
139	73	452
140	74	451
141	74	449
142	74	448
143	75	448
144	75	446
145	76	446
146	76	445
147	77	444
148	77	444
149	78	443
150	78	443
151	79	443
152	79	442
153	80	441
154	80	440
155	81	439
156	81	438
157	82	438
158	82	437
159	83	436
160	83	434
161	83	433
162	84	432
163	84	432
164	85	431
165	85	431
166	86	430
167	86	429
168	87	429
169	87	428
170	88	427
171	88	426
172	89	426
173	89	425
174	90	424
175	90	423
176	90	423
177	91	422
178	92	422
179	92	421
180	93	421
181	93	420
182	94	419
183	94	418
184	94	418
185	95	417
186	95	416
187	96	415
188	96	414
189	97	413
190	97	413
191	98	412
192	98	412
193	99	411
194	99	410
195	100	410
196	100	409
197	100	408
198	101	407
199	101	407
200	102	406
201	102	405
202	103	405
203	103	404
204	104	403
205	104	403
206	105	402
207	105	402
208	106	401
209	106	401
210	107	401
211	107	400
212	108	400
213	108	399
214	109	399
215	109	399
216	110	398
217	111	398
218	111	397
219	111	396
220	112	396
221	112	395
222	113	394
223	113	394
224	114	393
225	114	393
226	115	392
227	115	391
228	116	390
229	116	390
230	117	389
231	117	389
232	118	388
233	118	388
234	119	387
235	119	386
236	119	386
237	120	387
238	121	386
239	121	386
240	122	385
241	122	384
242	123	384
243	123	384
244	124	383
245	124	382
246	125	382
247	125	381
248	126	380
249	126	380
250	127	379
251	127	378
252	128	378
253	128	377
254	128	376
255	129	376
256	130	375
257	130	375
258	131	374
259	131	374
260	131	373
261	132	372
262	132	372
263	133	371
264	133	370
265	134	370
266	134	369
267	135	369
268	135	369
269	136	369
270	137	368
271	137	368
272	138	368
273	138	368
274	139	367
275	139	367
276	140	366
277	140	366
278	141	365
279	141	364
280	142	364
281	143	364
282	143	364
283	144	363
284	144	363
285	145	362
286	145	362
287	146	362
288	147	361
289	147	361
290	147	360
291	148	360
292	149	359
293	149	359
294	150	359
295	150	359
296	153	364
297	154	364
298	156	366
299	157	366
300	158	366
301	158	366
302	159	366
303	160	367
304	161	367
305	162	368
306	163	368
307	163	368
308	164	368
309	165	368
310	166	368
311	166	368
312	168	369
313	169	369
314	170	370
315	171	370
316	171	370
317	172	370
318	173	370
319	173	369
320	174	369
321	175	369
322	175	368
323	176	368
324	177	367
325	177	366
326	178	366
327	178	366
328	179	366
329	180	367
330	181	367
331	182	367
332	183	367
333	184	367
334	185	367
335	185	366
336	186	366
337	186	365
338	187	364
339	187	364
340	188	363
341	188	362
342	189	362
343	189	361
344	189	360
345	190	359
346	190	359
347	191	358
348	191	357
349	192	357
350	192	356
351	193	356
352	193	355
353	194	354
354	194	354
355	195	353
356	195	352
357	196	352
358	196	351
359	197	350
360	197	350
361	198	349
362	199	349
363	199	348
364	200	348
365	200	347
366	201	346
367	201	346
368	202	345
369	202	345
370	203	344
371	203	343
372	204	343
373	204	342
374	205	342
375	205	341
376	206	340
377	206	340
378	207	339
379	207	338
380	208	338
381	208	337
382	209	336
383	209	336
384	209	335
385	210	334
386	210	333
387	211	333
388	212	333
389	212	332
390	213	331
391	213	331
392	214	330
393	214	330
394	215	329
395	215	328
396	216	328
397	216	327
398	217	326
399	217	326
400	218	325
401	218	325
402	219	324
403	219	323
404	219	323
405	220	322
406	220	321
407	221	321
408	221	320
409	222	319
410	222	319
411	223	318
412	223	317
413	224	317
414	224	316
415	225	316
416	225	315
417	226	314
418	226	314
419	226	313
420	227	312
421	227	312
422	228	311
423	228	310
424	229	310
425	229	309
426	230	308
427	230	308
428	231	308
429	231	307
430	232	306
431	232	306
432	233	305
433	233	304
